normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.102039, 0.107426, 0.105517, 0.129067, 0.139109, 0.104445, 0.10579, 0.0956316, 0.124754, 0.132676, 0.103206, 0.092137, 0.0943809, 0.121796, 0.120127
0.102153, 0.109396, 0.0957734, 0.122978, 0.133459, 0.106536, 0.111701, 0.0992511, 0.12867, 0.136064, 0.102242, 0.0899162, 0.0938022, 0.117852, 0.118517
0.107311, 0.12001, 0.106507, 0.127804, 0.137443, 0.104523, 0.104948, 0.0935376, 0.132604, 0.139981, 0.103256, 0.0916281, 0.0933276, 0.119839, 0.115862
0.102046, 0.106643, 0.101189, 0.126792, 0.136705, 0.105949, 0.10625, 0.0947952, 0.126242, 0.133886, 0.100762, 0.093172, 0.0953818, 0.121123, 0.119837
0.104091, 0.107705, 0.0971564, 0.122809, 0.134943, 0.105825, 0.10657, 0.0942019, 0.125973, 0.13647, 0.101086, 0.0898915, 0.0939589, 0.117921, 0.118216
0.105698, 0.110885, 0.0973102, 0.124426, 0.138874, 0.105657, 0.106298, 0.0934253, 0.129401, 0.139841, 0.104734, 0.093861, 0.0949626, 0.118931, 0.117047
0.101653, 0.107355, 0.0968385, 0.127114, 0.140872, 0.108291, 0.1068, 0.0946289, 0.12798, 0.155238, 0.141245, 0.101858, 0.103657, 0.123475, 0.119469
0.103674, 0.110765, 0.0979071, 0.123088, 0.137094, 0.107365, 0.105979, 0.0949201, 0.128081, 0.135354, 0.100471, 0.0916888, 0.0941215, 0.118706, 0.120577
0.103968, 0.11071, 0.097872, 0.124299, 0.133262, 0.103433, 0.105566, 0.0940747, 0.127429, 0.138329, 0.103839, 0.091232, 0.0964083, 0.11931, 0.117704
0.102943, 0.109835, 0.0962872, 0.126337, 0.138498, 0.104412, 0.105705, 0.0942576, 0.123754, 0.132375, 0.104442, 0.0929968, 0.0953274, 0.121155, 0.118229
0.103999, 0.10899, 0.0970689, 0.121923, 0.137097, 0.104965, 0.107583, 0.0953273, 0.125532, 0.135759, 0.102725, 0.092281, 0.0939846, 0.119262, 0.119962
0.105056, 0.112458, 0.0967777, 0.125665, 0.132871, 0.104361, 0.103716, 0.0942559, 0.129146, 0.137019, 0.10434, 0.0942703, 0.0953438, 0.12126, 0.119223
0.102427, 0.113625, 0.0998283, 0.129574, 0.14329, 0.105975, 0.111107, 0.0949943, 0.127742, 0.139784, 0.106612, 0.093541, 0.0969621, 0.122698, 0.118528
0.104492, 0.108562, 0.098007, 0.125038, 0.137468, 0.104909, 0.107546, 0.0950423, 0.126563, 0.135028, 0.101755, 0.0899057, 0.0934518, 0.118545, 0.118978
0.103357, 0.112515, 0.0967998, 0.125179, 0.133974, 0.103283, 0.103879, 0.0932242, 0.130225, 0.136676, 0.103969, 0.0907106, 0.0957048, 0.119723, 0.116826
0.102132, 0.10932, 0.0987325, 0.125143, 0.13803, 0.105663, 0.107323, 0.0931025, 0.128163, 0.139397, 0.107439, 0.0931629, 0.0994365, 0.120297, 0.118648
0.104561, 0.108713, 0.0959534, 0.12313, 0.13481, 0.104996, 0.105509, 0.0939783, 0.127566, 0.137177, 0.101735, 0.0894825, 0.0936552, 0.118367, 0.119401
0.103807, 0.109063, 0.0963959, 0.123966, 0.133255, 0.103454, 0.103753, 0.0944808, 0.126941, 0.137341, 0.102865, 0.0896946, 0.0944909, 0.120681, 0.115961
0.101923, 0.108486, 0.0977445, 0.124548, 0.139144, 0.103444, 0.104441, 0.0932714, 0.125487, 0.132905, 0.101443, 0.0923, 0.0948312, 0.121433, 0.119029
0.101669, 0.107556, 0.0989157, 0.122641, 0.134071, 0.105277, 0.105743, 0.0950238, 0.12897, 0.135184, 0.103646, 0.090668, 0.0954453, 0.118624, 0.119899
0.103450, 0.110001, 0.098429, 0.125076, 0.136713, 0.105138, 0.106310, 0.094571, 0.127561, 0.137324, 0.105091, 0.092220, 0.095432, 0.120050 ,0.118602
