normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.261831, 0.300053, 0.252695, 0.28416, 0.478566, 0.270112, 0.275301, 0.27643, 0.338097, 0.458666, 0.247792, 0.202867, 0.240993, 0.258935, 0.36065
0.26192, 0.291237, 0.246886, 0.310643, 0.54892, 0.251839, 0.31706, 0.238957, 0.358734, 0.471391, 0.255308, 0.193227, 0.241348, 0.290726, 0.360975
0.255602, 0.30777, 0.227868, 0.30758, 0.513476, 0.268883, 0.278015, 0.249375, 0.278132, 0.457455, 0.284012, 0.194716, 0.234666, 0.278939, 0.343811
0.251836, 0.294609, 0.253812, 0.272519, 0.48205, 0.256368, 0.276678, 0.222847, 0.315215, 0.471616, 0.255974, 0.207832, 0.26714, 0.285032, 0.386575
0.269546, 0.313932, 0.242266, 0.291614, 0.475977, 0.267005, 0.270071, 0.238465, 0.326918, 0.678316, 0.319213, 0.314681, 0.615649, 0.493728, 0.414593
0.26847, 0.29918, 0.225497, 0.289079, 0.481892, 0.266862, 0.2784, 0.235307, 0.290132, 0.474148, 0.25732, 0.192333, 0.235021, 0.286963, 0.358053
0.266284, 0.319605, 0.231185, 0.294498, 0.496308, 0.251866, 0.284724, 0.232252, 0.299811, 0.469756, 0.26165, 0.193195, 0.229108, 0.272084, 0.365294
0.239623, 0.316896, 0.241601, 0.284308, 0.492388, 0.266077, 0.269712, 0.234812, 0.293158, 0.490684, 0.251474, 0.196147, 0.256252, 0.274234, 0.374371
0.302059, 0.302096, 0.229761, 0.284789, 0.475321, 0.53759, 0.335176, 0.296032, 0.297535, 0.67256, 0.343563, 0.1971, 0.285446, 0.342869, 0.411764
0.254069, 0.314828, 0.287753, 0.301032, 0.479222, 0.260805, 0.274917, 0.232962, 0.297638, 0.464079, 0.253133, 0.197689, 0.235436, 0.280662, 0.372222
0.250947, 0.303635, 0.249337, 0.304967, 0.480899, 0.27105, 0.289282, 0.222692, 0.294995, 0.488974, 0.266585, 0.205213, 0.245944, 0.272259, 0.365027
0.256107, 0.302061, 0.238639, 0.283046, 0.484255, 0.248813, 0.298117, 0.299207, 0.331567, 0.522104, 0.249372, 0.195149, 0.228399, 0.290809, 0.405782
0.298856, 0.342067, 0.271149, 0.328167, 0.511714, 0.268007, 0.289572, 0.227601, 0.355596, 0.50386, 0.282114, 0.195844, 0.245492, 0.291401, 0.408384
0.259958, 0.304275, 0.223948, 0.292457, 0.524704, 0.264511, 0.284799, 0.237503, 0.298805, 0.468216, 0.286007, 0.194403, 0.225399, 0.312719, 0.415945
0.294608, 0.34216, 0.230349, 0.284174, 0.482879, 0.232262, 0.271989, 0.222362, 0.298549, 0.455202, 0.335784, 0.20067, 0.2228, 0.311197, 0.373418
0.242488, 0.28762, 0.23104, 0.268715, 0.481156, 0.272634, 0.259338, 0.211355, 0.267659, 0.461401, 0.244728, 0.189806, 0.238874, 0.267064, 0.369868
0.24842, 0.300172, 0.228909, 0.297331, 0.482701, 0.254833, 0.325429, 0.270649, 0.340574, 0.554495, 0.308705, 0.202661, 0.246425, 0.304105, 0.355981
0.240513, 0.283503, 0.21464, 0.285214, 0.482914, 0.284232, 0.27725, 0.234187, 0.271965, 0.464278, 0.267345, 0.195191, 0.227516, 0.270714, 0.358207
0.265613, 0.296453, 0.252871, 0.291718, 0.488584, 0.276613, 0.264294, 0.22035, 0.291453, 0.454675, 0.252768, 0.19721, 0.228176, 0.269956, 0.34697
0.250903, 0.285218, 0.215643, 0.281618, 0.481152, 0.253076, 0.270416, 0.222178, 0.275372, 0.455441, 0.247257, 0.182911, 0.237092, 0.272465, 0.34157
0.261983, 0.305369, 0.239792, 0.291881, 0.491254, 0.276172, 0.284527, 0.241276, 0.306095, 0.496866, 0.273505, 0.202442, 0.259359, 0.296343 ,0.374473
