normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.0363046, 0.0339425, 0.0293507, 0.033087, 0.0437172, 0.0309725, 0.0312773, 0.0318583, 0.0360198, 0.0436335, 0.024329, 0.0250213, 0.0212351, 0.0347764, 0.0462984
0.0333425, 0.0332684, 0.0307393, 0.0331669, 0.0438586, 0.0314949, 0.0305583, 0.0295542, 0.036181, 0.044939, 0.0248866, 0.0276732, 0.0229963, 0.0382019, 0.0463572
0.0327018, 0.0309584, 0.0296362, 0.0326899, 0.0421146, 0.0304538, 0.0292044, 0.0288238, 0.0330001, 0.043367, 0.0241878, 0.0257557, 0.0221221, 0.034137, 0.0433845
0.0320996, 0.0337156, 0.0305948, 0.0331217, 0.0456492, 0.0311535, 0.0299278, 0.0291815, 0.0364615, 0.0451929, 0.0252344, 0.0260265, 0.0225199, 0.0344417, 0.0464146
0.0324881, 0.0339871, 0.030974, 0.0340689, 0.0449878, 0.0311917, 0.0295105, 0.028545, 0.033582, 0.0454703, 0.0243285, 0.025138, 0.0220667, 0.0352116, 0.0443179
0.0319182, 0.0333747, 0.0712267, 0.0702217, 0.0876169, 0.0645342, 0.0666531, 0.0499044, 0.0631224, 0.0569941, 0.0289165, 0.0274791, 0.0228733, 0.0345716, 0.043346
0.0321571, 0.0325449, 0.0302046, 0.0329027, 0.0441051, 0.0313355, 0.0314838, 0.0297813, 0.0342253, 0.0438774, 0.0242478, 0.0273884, 0.0227815, 0.0344875, 0.0446308
0.0323143, 0.0336279, 0.0316341, 0.0346526, 0.0450332, 0.0319462, 0.0294225, 0.0301558, 0.0344786, 0.0440431, 0.0243156, 0.0263544, 0.023032, 0.0367239, 0.0463372
0.0337442, 0.03842, 0.047241, 0.0490594, 0.0468207, 0.0316073, 0.036831, 0.0336209, 0.0425705, 0.0555316, 0.0329633, 0.030443, 0.0267146, 0.0457323, 0.0522341
0.0358326, 0.0428572, 0.0372644, 0.0373759, 0.0520933, 0.0334747, 0.03109, 0.0293019, 0.0347074, 0.0442715, 0.0258502, 0.0273673, 0.022174, 0.0350226, 0.0441426
0.0322344, 0.0331705, 0.0309349, 0.0338475, 0.0458008, 0.0319978, 0.0309478, 0.0307676, 0.0356165, 0.0456155, 0.0252124, 0.0252171, 0.0224564, 0.0360624, 0.0477207
0.0335207, 0.0342125, 0.0330852, 0.0351391, 0.0448739, 0.0325047, 0.0312351, 0.0296239, 0.0339297, 0.0460204, 0.0262425, 0.0256745, 0.022085, 0.037305, 0.0459216
0.0349578, 0.0326484, 0.0336766, 0.0394479, 0.0562479, 0.0359614, 0.0341262, 0.0328013, 0.036815, 0.0487036, 0.0262326, 0.0274618, 0.0234723, 0.0369876, 0.0440291
0.0323111, 0.0328597, 0.0294604, 0.0329072, 0.0433088, 0.0303734, 0.0299265, 0.0281393, 0.0331638, 0.0433646, 0.0234924, 0.024458, 0.0215741, 0.0337741, 0.0427451
0.0308808, 0.0333386, 0.0297297, 0.0329162, 0.0437482, 0.0311008, 0.0301426, 0.0294436, 0.0347281, 0.0435389, 0.0235458, 0.0251913, 0.0210261, 0.0334596, 0.0435465
0.031382, 0.0315272, 0.0298492, 0.0327429, 0.0436198, 0.031069, 0.0288856, 0.0282353, 0.0339991, 0.0441224, 0.0242706, 0.0243068, 0.0213252, 0.0335557, 0.0436976
0.0326235, 0.031625, 0.0302545, 0.033104, 0.0437587, 0.0308054, 0.0294628, 0.0281945, 0.0338158, 0.0432501, 0.0234907, 0.0247275, 0.0214451, 0.0341896, 0.0430223
0.0313456, 0.0315967, 0.02955, 0.0329706, 0.0438238, 0.032113, 0.0306612, 0.0282094, 0.0334734, 0.0433291, 0.0242868, 0.0257392, 0.022218, 0.0339082, 0.0437115
0.0314707, 0.0319134, 0.0296092, 0.0323589, 0.0445958, 0.0312368, 0.0292436, 0.0281912, 0.0333237, 0.0437399, 0.0235716, 0.024393, 0.0219538, 0.0339325, 0.0432436
0.0315927, 0.0316617, 0.029569, 0.0327967, 0.0441408, 0.0309728, 0.0307963, 0.0277896, 0.0333477, 0.0437904, 0.0236286, 0.0251712, 0.021536, 0.034089, 0.0437454
0.032761, 0.033563, 0.033729, 0.036429, 0.047496, 0.033315, 0.032569, 0.030606, 0.036328, 0.045640, 0.025162, 0.026049, 0.022380, 0.035529 ,0.044942
