normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.26815, 0.234531, 0.342623, 0.301715, 0.275458, 0.232001, 0.334943, 0.281703, 0.268293, 0.231454, 0.336637, 0.297352
0.266604, 0.231174, 0.344647, 0.301477, 0.263569, 0.232696, 0.329063, 0.284191, 0.267215, 0.232613, 0.33923, 0.304731
0.355544, 0.320455, 0.478761, 0.385876, 0.363351, 0.289414, 0.381194, 0.299272, 0.279658, 0.234443, 0.338636, 0.307954
0.268799, 0.231131, 0.342799, 0.301678, 0.264227, 0.233089, 0.333307, 0.287024, 0.266515, 0.231805, 0.33733, 0.293824
0.270223, 0.231155, 0.340693, 0.301551, 0.263969, 0.232325, 0.329219, 0.280492, 0.26864, 0.232728, 0.337413, 0.301815
0.268916, 0.232158, 0.341327, 0.30159, 0.264857, 0.232302, 0.335065, 0.281494, 0.26749, 0.232979, 0.337823, 0.306759
0.267888, 0.232137, 0.343556, 0.302145, 0.264509, 0.230765, 0.331734, 0.278948, 0.268241, 0.231559, 0.337115, 0.298613
0.313458, 0.231394, 0.342413, 0.302882, 0.263498, 0.231874, 0.329884, 0.279897, 0.266897, 0.230579, 0.337853, 0.306929
0.270352, 0.230734, 0.347942, 0.301161, 0.263977, 0.231713, 0.334039, 0.27939, 0.26689, 0.231504, 0.33725, 0.291395
0.267917, 0.23158, 0.343042, 0.301492, 0.265404, 0.230396, 0.332404, 0.291408, 0.268678, 0.23092, 0.337344, 0.290707
0.270908, 0.230773, 0.342234, 0.301765, 0.26377, 0.231354, 0.333114, 0.280125, 0.266276, 0.232758, 0.338018, 0.290828
0.270672, 0.230335, 0.342072, 0.301821, 0.264022, 0.232065, 0.333118, 0.280125, 0.266991, 0.230974, 0.339367, 0.297427
0.26947, 0.232082, 0.341253, 0.303565, 0.26625, 0.230888, 0.333355, 0.2928, 0.267036, 0.231056, 0.336304, 0.292936
0.266925, 0.231746, 0.343433, 0.302016, 0.263863, 0.230799, 0.334017, 0.280336, 0.267448, 0.231717, 0.337491, 0.304408
0.27072, 0.231776, 0.346583, 0.302644, 0.264565, 0.232242, 0.332909, 0.280469, 0.268534, 0.23207, 0.33753, 0.30539
0.270704, 0.232626, 0.343442, 0.302866, 0.26331, 0.230904, 0.336043, 0.279798, 0.267439, 0.231769, 0.336506, 0.293893
0.267845, 0.231867, 0.34375, 0.301246, 0.264459, 0.232373, 0.329732, 0.280562, 0.267132, 0.231289, 0.337268, 0.297827
0.266712, 0.232956, 0.347232, 0.301778, 0.264571, 0.230739, 0.328824, 0.285933, 0.2672, 0.23092, 0.338261, 0.29361
0.269767, 0.231168, 0.343086, 0.302216, 0.263853, 0.232006, 0.330189, 0.279999, 0.267872, 0.232643, 0.338053, 0.297114
0.267243, 0.2309, 0.344223, 0.302332, 0.264133, 0.23317, 0.332633, 0.2792, 0.267475, 0.232492, 0.336194, 0.304237
0.268803, 0.230792, 0.343185, 0.302713, 0.264218, 0.231569, 0.333835, 0.279494, 0.266928, 0.232386, 0.333761, 0.294171
0.267614, 0.231804, 0.343752, 0.30212, 0.264019, 0.230589, 0.330915, 0.279738, 0.266948, 0.232044, 0.337285, 0.298853
0.266914, 0.231649, 0.34156, 0.30207, 0.263825, 0.231145, 0.334547, 0.284445, 0.267754, 0.230901, 0.340644, 0.291559
0.268868, 0.23142, 0.346024, 0.300623, 0.265094, 0.231176, 0.333097, 0.290172, 0.266763, 0.231019, 0.338973, 0.290772
0.270684, 0.231726, 0.341962, 0.300946, 0.265902, 0.231199, 0.337198, 0.28738, 0.268297, 0.230953, 0.341248, 0.290864
0.266755, 0.231569, 0.343574, 0.301421, 0.265278, 0.232157, 0.330458, 0.279552, 0.267112, 0.23071, 0.337426, 0.303062
0.271065, 0.229857, 0.343255, 0.303258, 0.26382, 0.233237, 0.332579, 0.278892, 0.268272, 0.231036, 0.339907, 0.300951
0.269908, 0.232606, 0.344566, 0.304042, 0.264318, 0.232866, 0.33685, 0.287254, 0.266883, 0.23273, 0.339288, 0.291542
0.270592, 0.231505, 0.34311, 0.302304, 0.266253, 0.231546, 0.333607, 0.279923, 0.269754, 0.232111, 0.337759, 0.293893
0.270626, 0.232742, 0.345836, 0.303557, 0.265594, 0.230565, 0.330585, 0.290081, 0.267224, 0.233069, 0.336614, 0.301576
0.269598, 0.230554, 0.341906, 0.3012, 0.265679, 0.230601, 0.334551, 0.281423, 0.267152, 0.233045, 0.338661, 0.29723
0.270444, 0.231054, 0.341541, 0.301439, 0.265538, 0.231468, 0.337319, 0.28115, 0.267053, 0.230778, 0.339918, 0.3013
0.266859, 0.233301, 0.34122, 0.303227, 0.26346, 0.231765, 0.338659, 0.279939, 0.267362, 0.230591, 0.335216, 0.304056
0.267604, 0.230621, 0.341739, 0.30165, 0.267433, 0.232768, 0.331307, 0.281681, 0.266808, 0.230949, 0.33939, 0.292236
0.267473, 0.231054, 0.341781, 0.303814, 0.271289, 0.231577, 0.335033, 0.279373, 0.26836, 0.231174, 0.357273, 0.340961
0.268434, 0.230774, 0.345779, 0.301614, 0.264024, 0.232633, 0.334586, 0.279939, 0.267732, 0.233744, 0.337769, 0.30104
0.26958, 0.232347, 0.341989, 0.303935, 0.265489, 0.235184, 0.329887, 0.288257, 0.267103, 0.232504, 0.335496, 0.303129
