normal_static_wrs, normal_static_discrete, normal_changing_wrs, uniform_static_wrs, uniform_static_discrete, uniform_changing_wrs, weibull_static_wrs, weibull_static_discrete, weibull_changing_wrs
0.0729147, 0.0782014, 0.0401272, 0.0709981, 0.0765227, 0.0246135, 0.0662521, 0.0709474, 0.0261898
0.0728791, 0.0777694, 0.0411321, 0.0716911, 0.0767162, 0.0248291, 0.0666604, 0.0695693, 0.0270406
0.0753159, 0.0799833, 0.0405218, 0.0710579, 0.0752901, 0.0242796, 0.0667524, 0.0707293, 0.0283085
0.0753439, 0.0786148, 0.0405462, 0.0731714, 0.0761611, 0.025179, 0.0678872, 0.0694556, 0.0291072
0.0745556, 0.0752815, 0.0394637, 0.0708713, 0.0737139, 0.0251166, 0.0660724, 0.0693091, 0.0280812
0.0751568, 0.077875, 0.0406647, 0.0719915, 0.0735189, 0.0247608, 0.0662043, 0.0719561, 0.0264253
0.0746796, 0.0766881, 0.0393093, 0.0716392, 0.0751019, 0.0259006, 0.0693732, 0.0726376, 0.0275491
0.077791, 0.0784562, 0.0404683, 0.0725911, 0.0740668, 0.0248229, 0.0697447, 0.0703487, 0.0263839
0.0730121, 0.0750843, 0.0393777, 0.0714937, 0.0740887, 0.0266529, 0.0693381, 0.0701197, 0.0280388
0.0769434, 0.0778281, 0.0403007, 0.07338, 0.076505, 0.0249726, 0.0688068, 0.0720353, 0.0264808
0.0733326, 0.0756903, 0.0393748, 0.0709785, 0.0798935, 0.0248279, 0.0689322, 0.0706776, 0.0263092
0.0725111, 0.0756393, 0.0390543, 0.0744181, 0.0755964, 0.024475, 0.0655369, 0.0690838, 0.026022
0.0743884, 0.0757571, 0.0393003, 0.0751414, 0.0749653, 0.0251671, 0.0672994, 0.0691226, 0.0266902
0.0739644, 0.077689, 0.04442, 0.0807969, 0.0817102, 0.0290105, 0.0703313, 0.0742725, 0.0268238
0.073528, 0.0788402, 0.0399216, 0.074997, 0.0755538, 0.026004, 0.0680065, 0.0710359, 0.026938
0.0755596, 0.0779728, 0.0406058, 0.0730267, 0.0734676, 0.0248307, 0.0659433, 0.069613, 0.0265262
0.0731098, 0.0783669, 0.0399042, 0.0745773, 0.0760588, 0.0244329, 0.066145, 0.0704805, 0.028375
0.0750197, 0.0758527, 0.0398464, 0.070751, 0.0740668, 0.0250771, 0.0658249, 0.0721506, 0.0267203
0.0764513, 0.0781887, 0.0391676, 0.071645, 0.0732623, 0.0249189, 0.0655097, 0.0730007, 0.0265452
0.074201, 0.0751768, 0.0394179, 0.0715593, 0.0730363, 0.0256647, 0.0680705, 0.0715795, 0.0282422
0.074533, 0.077248, 0.040146, 0.072839, 0.075465, 0.025277, 0.067434, 0.070906, 0.027140
