normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.102685, 0.101438, 0.0984649, 0.0539773, 0.0856045, 0.0839785, 0.0841608, 0.121652, 0.149722, 0.119716, 0.110849, 0.113771, 0.112491, 0.104498, 0.0989908, 0.0955582, 0.0538703, 0.0893843, 0.0836152, 0.0813121, 0.112291, 0.141582, 0.134808, 0.103218, 0.0997936, 0.100757, 0.0989539, 0.0856366, 0.0976449, 0.0534904, 0.0923935, 0.081696, 0.0810674, 0.108797, 0.124392, 0.123098, 0.0932931, 0.0913974, 0.0997875
0.101773, 0.0999228, 0.0949431, 0.0594745, 0.0856362, 0.0823049, 0.0815014, 0.124579, 0.149088, 0.120426, 0.11506, 0.114046, 0.110262, 0.102079, 0.0988832, 0.0953762, 0.0537661, 0.088329, 0.0835953, 0.0814102, 0.110177, 0.143665, 0.123156, 0.0971217, 0.0992104, 0.101944, 0.0988256, 0.084093, 0.0997369, 0.0571259, 0.0873353, 0.0832159, 0.0837873, 0.106534, 0.1252, 0.124173, 0.0962302, 0.0920773, 0.10645
0.103002, 0.0996219, 0.0949667, 0.0576636, 0.0882306, 0.0831687, 0.0817711, 0.120637, 0.149443, 0.122465, 0.116611, 0.111073, 0.110861, 0.0994191, 0.102259, 0.0951381, 0.05451, 0.0873881, 0.0846795, 0.0839756, 0.114073, 0.140045, 0.121959, 0.0996754, 0.09978, 0.102618, 0.0986325, 0.087548, 0.0955008, 0.0546389, 0.0876674, 0.0811847, 0.0814487, 0.107085, 0.126986, 0.126778, 0.0918803, 0.0900247, 0.104389
0.103214, 0.100595, 0.0962416, 0.0555335, 0.0856612, 0.0848549, 0.0813986, 0.119591, 0.150018, 0.123894, 0.115442, 0.110132, 0.115093, 0.102569, 0.0962797, 0.0971084, 0.0561749, 0.0875692, 0.0849548, 0.081733, 0.109778, 0.139052, 0.12032, 0.104409, 0.0983347, 0.101356, 0.0967328, 0.0880889, 0.0937715, 0.0538848, 0.0868417, 0.08016, 0.0807865, 0.110738, 0.12351, 0.122198, 0.0919639, 0.090071, 0.104119
0.104315, 0.0982074, 0.0956098, 0.0544893, 0.0853902, 0.0861601, 0.0828399, 0.12319, 0.150018, 0.122349, 0.115357, 0.107987, 0.111891, 0.104432, 0.0992897, 0.0965101, 0.0547378, 0.0875134, 0.0841305, 0.0808805, 0.110115, 0.141252, 0.124476, 0.101775, 0.0986538, 0.100333, 0.0984711, 0.0865177, 0.096882, 0.0566603, 0.0869371, 0.0800634, 0.0803191, 0.107231, 0.122884, 0.121774, 0.0959166, 0.0953238, 0.104798
0.103754, 0.0968602, 0.0940891, 0.0546245, 0.0884693, 0.0860638, 0.0816588, 0.122009, 0.149657, 0.1242, 0.115969, 0.105879, 0.109968, 0.102971, 0.0944361, 0.0958701, 0.053522, 0.0878177, 0.0854521, 0.0820378, 0.112816, 0.14078, 0.119531, 0.101555, 0.0991545, 0.103147, 0.098281, 0.0862372, 0.0959232, 0.0538322, 0.086899, 0.0826097, 0.0827268, 0.107479, 0.123275, 0.127408, 0.0916102, 0.0902027, 0.102971
0.102982, 0.0965428, 0.0977388, 0.055221, 0.0869014, 0.0863008, 0.0812135, 0.122788, 0.148397, 0.125592, 0.112888, 0.107462, 0.112258, 0.102393, 0.0944762, 0.0944108, 0.0548892, 0.0919468, 0.0858588, 0.0853435, 0.109031, 0.138332, 0.118632, 0.101177, 0.0960914, 0.102147, 0.0971816, 0.0858987, 0.093395, 0.0532327, 0.0869512, 0.0794817, 0.0811161, 0.106632, 0.12813, 0.123934, 0.0917618, 0.089915, 0.105526
0.102454, 0.0992008, 0.0946482, 0.0532576, 0.0856598, 0.0863091, 0.0842432, 0.122122, 0.150289, 0.126573, 0.112763, 0.107516, 0.112501, 0.102228, 0.095352, 0.0986181, 0.0540225, 0.0867476, 0.0840035, 0.0819851, 0.110809, 0.140246, 0.12403, 0.102784, 0.0962883, 0.100278, 0.0948685, 0.0857258, 0.0930786, 0.0553706, 0.0895115, 0.0802093, 0.0806446, 0.10842, 0.126129, 0.120747, 0.0913883, 0.090192, 0.102773
0.104155, 0.0983763, 0.0951371, 0.0532675, 0.0852619, 0.0869219, 0.0829398, 0.124702, 0.148575, 0.124682, 0.112225, 0.109153, 0.114264, 0.102701, 0.0974188, 0.0950579, 0.052908, 0.0875537, 0.0844322, 0.0827177, 0.110754, 0.143071, 0.124625, 0.101847, 0.0977998, 0.103748, 0.0950879, 0.085295, 0.0966029, 0.0546099, 0.0863493, 0.0822688, 0.0853095, 0.10621, 0.124537, 0.12167, 0.0963991, 0.0933439, 0.105044
0.102216, 0.0975493, 0.0949658, 0.0586503, 0.0876042, 0.0864448, 0.0818971, 0.121795, 0.149912, 0.126026, 0.117756, 0.108418, 0.110812, 0.102472, 0.0954865, 0.0943994, 0.0542674, 0.0869193, 0.0864882, 0.0855125, 0.115724, 0.139965, 0.123811, 0.0993759, 0.0988968, 0.102541, 0.0970119, 0.0859402, 0.0937716, 0.0534933, 0.0869812, 0.0805952, 0.0855794, 0.106581, 0.126666, 0.126981, 0.0967622, 0.0899302, 0.101102
0.101776, 0.0998134, 0.0983778, 0.0541514, 0.0856514, 0.0856504, 0.0840796, 0.121435, 0.153412, 0.129813, 0.115006, 0.1096, 0.113068, 0.101103, 0.0952933, 0.0973852, 0.0558315, 0.0887118, 0.0825585, 0.0822463, 0.109423, 0.142795, 0.127199, 0.0994122, 0.0973709, 0.102006, 0.0983015, 0.0855679, 0.0951643, 0.0558535, 0.0884181, 0.0798476, 0.0850329, 0.110082, 0.124171, 0.123895, 0.0990279, 0.089861, 0.102068
0.102618, 0.0967042, 0.0946472, 0.0534928, 0.0856168, 0.0817897, 0.0824203, 0.123342, 0.149846, 0.12828, 0.113926, 0.110787, 0.109736, 0.101443, 0.0984294, 0.0952192, 0.0538728, 0.087595, 0.0838549, 0.080986, 0.110851, 0.143082, 0.128125, 0.0988643, 0.0961795, 0.103823, 0.0957483, 0.0825156, 0.0955095, 0.0563836, 0.0864858, 0.0796529, 0.0848815, 0.107036, 0.123683, 0.124711, 0.0981821, 0.092815, 0.103817
