normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.162023, 0.125376, 0.189743, 0.172199, 0.151678, 0.124755, 0.179978, 0.151944, 0.155759, 0.125012, 0.180681, 0.160228
0.164059, 0.124255, 0.191245, 0.171994, 0.152296, 0.125118, 0.177193, 0.151342, 0.153325, 0.125305, 0.179738, 0.159665
0.161875, 0.124104, 0.191119, 0.171433, 0.152434, 0.124865, 0.177513, 0.150467, 0.154546, 0.124054, 0.180207, 0.158931
0.163798, 0.124326, 0.190183, 0.17213, 0.151159, 0.125104, 0.17759, 0.150792, 0.155041, 0.124308, 0.180488, 0.158989
0.164041, 0.125064, 0.192728, 0.172416, 0.153168, 0.125553, 0.175408, 0.151834, 0.154352, 0.124183, 0.180752, 0.159584
0.163504, 0.125103, 0.190717, 0.172854, 0.153008, 0.125791, 0.177146, 0.151853, 0.154938, 0.125181, 0.18547, 0.159708
0.163582, 0.125037, 0.196353, 0.172848, 0.153665, 0.125547, 0.179413, 0.150566, 0.154824, 0.125901, 0.181453, 0.160797
0.162826, 0.125061, 0.190588, 0.172693, 0.153663, 0.124306, 0.1789, 0.151302, 0.173963, 0.12534, 0.1803, 0.160228
0.164338, 0.124941, 0.189667, 0.190336, 0.151485, 0.125332, 0.176842, 0.151771, 0.154647, 0.124157, 0.181542, 0.159971
0.164343, 0.12538, 0.189569, 0.173097, 0.15278, 0.124821, 0.179772, 0.151674, 0.155169, 0.125542, 0.179796, 0.158869
0.163784, 0.125499, 0.189323, 0.172851, 0.151342, 0.125638, 0.180468, 0.150448, 0.155365, 0.125224, 0.181262, 0.159744
0.162016, 0.125052, 0.189424, 0.171105, 0.152311, 0.125133, 0.179845, 0.151502, 0.154811, 0.124851, 0.179443, 0.159519
0.165061, 0.125042, 0.193189, 0.171233, 0.153116, 0.125516, 0.177689, 0.151143, 0.153958, 0.124139, 0.180026, 0.15942
0.163445, 0.124333, 0.192613, 0.171599, 0.153659, 0.124336, 0.175922, 0.150459, 0.153846, 0.12443, 0.180731, 0.158751
0.161339, 0.126499, 0.188724, 0.171448, 0.151393, 0.125933, 0.177814, 0.150281, 0.153476, 0.125676, 0.179465, 0.160616
0.161662, 0.125717, 0.190457, 0.171212, 0.153657, 0.124301, 0.179233, 0.150449, 0.155182, 0.125361, 0.187508, 0.160292
0.163431, 0.124681, 0.195269, 0.17145, 0.151629, 0.125066, 0.178937, 0.151462, 0.155236, 0.124885, 0.18318, 0.159146
0.164229, 0.125159, 0.191514, 0.172044, 0.154739, 0.124997, 0.178316, 0.151771, 0.154076, 0.125347, 0.180383, 0.159349
0.162974, 0.124645, 0.190289, 0.171734, 0.15411, 0.124379, 0.177162, 0.151126, 0.15485, 0.124093, 0.179724, 0.15885
0.164711, 0.12454, 0.18972, 0.172011, 0.151884, 0.124939, 0.177527, 0.150684, 0.15454, 0.124785, 0.183503, 0.1601
0.163967, 0.124982, 0.189122, 0.171833, 0.152043, 0.124491, 0.178108, 0.151345, 0.154334, 0.124304, 0.183138, 0.159517
