normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.247959, 0.275332, 0.297564, 0.446334, 0.200257, 0.161012, 0.145681, 0.267208, 0.544371, 0.634435, 0.271362, 0.289148, 0.198922, 0.244236, 0.270896, 0.277135, 0.417108, 0.208012, 0.169207, 0.154719, 0.250857, 0.513998, 0.641626, 0.28536, 0.275821, 0.189792, 0.249738, 0.194821, 0.334819, 0.381127, 0.199118, 0.163714, 0.139607, 0.262638, 0.4698, 0.552338, 0.279106, 0.264522, 0.202485
0.272872, 0.275167, 0.297246, 0.410121, 0.186339, 0.176054, 0.15159, 0.267925, 0.539232, 0.606314, 0.268662, 0.26985, 0.186471, 0.23876, 0.25417, 0.326282, 0.381835, 0.205321, 0.175168, 0.14595, 0.271708, 0.509494, 0.607747, 0.298464, 0.273984, 0.200412, 0.249937, 0.176156, 0.325858, 0.353201, 0.196455, 0.173052, 0.135505, 0.267133, 0.483444, 0.56836, 0.274047, 0.259371, 0.193159
0.234948, 0.266455, 0.332595, 0.425422, 0.186661, 0.175351, 0.143605, 0.316185, 0.549804, 0.555785, 0.301148, 0.284133, 0.199551, 0.23353, 0.250098, 0.32331, 0.362727, 0.199481, 0.164612, 0.145444, 0.270923, 0.527731, 0.643664, 0.267858, 0.295481, 0.209992, 0.237181, 0.204729, 0.312052, 0.397094, 0.211982, 0.173567, 0.148234, 0.259172, 0.453153, 0.581963, 0.264952, 0.281697, 0.189019
0.239443, 0.274374, 0.303912, 0.354695, 0.202918, 0.173772, 0.137234, 0.271469, 0.553782, 0.587606, 0.294843, 0.277134, 0.235331, 0.250621, 0.259826, 0.319689, 0.398485, 0.211154, 0.172492, 0.152032, 0.248723, 0.509636, 0.652842, 0.267213, 0.26489, 0.232854, 0.230255, 0.174469, 0.328134, 0.424025, 0.199168, 0.162164, 0.135571, 0.28399, 0.480944, 0.63408, 0.282505, 0.287242, 0.196848
0.246248, 0.280974, 0.302702, 0.363206, 0.21336, 0.170707, 0.147284, 0.35288, 0.567549, 0.579861, 0.293794, 0.262493, 0.209005, 0.249943, 0.240684, 0.352182, 0.418874, 0.18569, 0.172591, 0.149377, 0.2754, 0.513344, 0.606796, 0.259648, 0.277702, 0.193308, 0.252877, 0.195247, 0.30048, 0.481511, 0.198944, 0.176597, 0.145779, 0.274587, 0.446513, 0.648417, 0.29804, 0.264448, 0.193223
0.239662, 0.25903, 0.33377, 0.403894, 0.182715, 0.173956, 0.136581, 0.267182, 0.567208, 0.584654, 0.302206, 0.280144, 0.198871, 0.235969, 0.253714, 0.356942, 0.39709, 0.19537, 0.159292, 0.137922, 0.285471, 0.534711, 0.620634, 0.25225, 0.296542, 0.194497, 0.249911, 0.186927, 0.291831, 0.366287, 0.193436, 0.169055, 0.146838, 0.265857, 0.454346, 0.594179, 0.258191, 0.273152, 0.192941
0.252996, 0.268729, 0.301176, 0.396126, 0.207973, 0.166822, 0.155222, 0.263843, 0.553606, 0.574493, 0.282865, 0.276769, 0.197459, 0.262051, 0.241602, 0.325881, 0.404275, 0.201976, 0.170131, 0.143442, 0.254256, 0.515537, 0.573346, 0.263165, 0.26686, 0.184006, 0.22671, 0.177791, 0.329973, 0.367522, 0.210105, 0.168999, 0.142127, 0.281685, 0.457808, 0.625349, 0.273116, 0.274443, 0.209845
0.249116, 0.242347, 0.329081, 0.44257, 0.192476, 0.164541, 0.141853, 0.305823, 0.532214, 0.593359, 0.280285, 0.261121, 0.208243, 0.252085, 0.246189, 0.316577, 0.434082, 0.194909, 0.179046, 0.13988, 0.254336, 0.525709, 0.590403, 0.264883, 0.255663, 0.181801, 0.244746, 0.185018, 0.337901, 0.410527, 0.210084, 0.162286, 0.152876, 0.273087, 0.463808, 0.597735, 0.264511, 0.262966, 0.201646
0.234876, 0.255878, 0.32692, 0.398723, 0.203301, 0.18155, 0.137663, 0.283433, 0.540191, 0.633086, 0.281257, 0.279461, 0.206738, 0.233606, 0.281932, 0.387252, 0.418893, 0.192404, 0.173987, 0.134849, 0.298013, 0.557853, 0.609209, 0.280058, 0.253303, 0.184151, 0.224344, 0.190298, 0.309902, 0.364769, 0.190683, 0.164729, 0.153261, 0.2791, 0.461136, 0.622242, 0.256441, 0.270023, 0.208344
0.241355, 0.251444, 0.364601, 0.380872, 0.18686, 0.16402, 0.13771, 0.303671, 0.546072, 0.579576, 0.275392, 0.316054, 0.230004, 0.241636, 0.265428, 0.307374, 0.438137, 0.200724, 0.180666, 0.135761, 0.259716, 0.538997, 0.562307, 0.261943, 0.26523, 0.18061, 0.235838, 0.163679, 0.341432, 0.429893, 0.188916, 0.161309, 0.152329, 0.272295, 0.476487, 0.559028, 0.282611, 0.272926, 0.187389
