normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.097054, 0.095767, 0.101729, 0.001317, 0.001583, 0.098092, 0.093315, 0.106718, 0.111686, 0.140009, 0.0001, 7.9e-05, 9.7e-05, 0.113529, 0.115617
0.098149, 0.096173, 0.096794, 0.001317, 0.001554, 0.097584, 0.092238, 0.105083, 0.112187, 0.139448, 9.8e-05, 7.8e-05, 0.000102, 0.112873, 0.117393
0.096617, 0.095857, 0.101679, 0.001307, 0.001562, 0.097811, 0.09264, 0.103892, 0.112457, 0.139714, 9.8e-05, 7.8e-05, 0.000101, 0.113613, 0.116186
0.097478, 0.095919, 0.103614, 0.001315, 0.001582, 0.097736, 0.092917, 0.100858, 0.112137, 0.139053, 9.8e-05, 8.1e-05, 0.000101, 0.113085, 0.116248
0.097274, 0.095857, 0.104192, 0.001313, 0.001594, 0.097694, 0.092923, 0.103282, 0.112601, 0.137781, 0.000102, 7.9e-05, 0.000103, 0.113487, 0.116485
0.096914, 0.096133, 0.104727, 0.00133, 0.001561, 0.097843, 0.093369, 0.101511, 0.111503, 0.139324, 9.8e-05, 7.9e-05, 0.000101, 0.112835, 0.116661
0.096813, 0.096412, 0.103363, 0.001315, 0.001563, 0.097812, 0.093121, 0.10263, 0.112462, 0.139652, 9.8e-05, 7.9e-05, 0.0001, 0.113441, 0.117185
0.097504, 0.095605, 0.104338, 0.001313, 0.001584, 0.09839, 0.092881, 0.099059, 0.112237, 0.138543, 9.8e-05, 7.8e-05, 0.000101, 0.114473, 0.115834
0.09713, 0.095832, 0.100258, 0.001315, 0.001585, 0.09776, 0.093019, 0.10107, 0.112718, 0.140249, 9.8e-05, 7.9e-05, 0.000107, 0.113135, 0.116743
0.096813, 0.096536, 0.102239, 0.001319, 0.001577, 0.097588, 0.093074, 0.102882, 0.112669, 0.13988, 9.9e-05, 7.9e-05, 9.9e-05, 0.11309, 0.116576
0.097219, 0.096134, 0.102447, 0.001318, 0.001559, 0.098157, 0.092808, 0.101362, 0.111888, 0.140017, 9.8e-05, 7.8e-05, 0.0001, 0.113675, 0.116414
0.097454, 0.096255, 0.105664, 0.00131, 0.001573, 0.097717, 0.093069, 0.101054, 0.112269, 0.139885, 9.8e-05, 7.8e-05, 0.000103, 0.113449, 0.116044
0.097482, 0.096116, 0.102051, 0.001315, 0.00155, 0.098208, 0.092558, 0.101463, 0.111867, 0.139297, 0.000103, 7.8e-05, 0.000104, 0.113263, 0.115717
0.097741, 0.09624, 0.103083, 0.001315, 0.001578, 0.097855, 0.092747, 0.100213, 0.112921, 0.138637, 9.9e-05, 7.9e-05, 0.000102, 0.1128, 0.11686
0.097236, 0.096466, 0.103887, 0.001319, 0.001568, 0.098205, 0.092617, 0.103111, 0.112542, 0.139134, 9.9e-05, 7.8e-05, 0.000102, 0.113439, 0.116716
0.09764, 0.096009, 0.104566, 0.001316, 0.001557, 0.097927, 0.092546, 0.101966, 0.112411, 0.139323, 9.9e-05, 7.9e-05, 0.000104, 0.113171, 0.116307
0.097033, 0.096045, 0.101223, 0.001315, 0.001559, 0.097572, 0.093318, 0.10306, 0.111777, 0.137852, 9.9e-05, 7.8e-05, 0.0001, 0.113155, 0.115662
0.096828, 0.096439, 0.101573, 0.001321, 0.001563, 0.097519, 0.093073, 0.100518, 0.11228, 0.1404, 9.9e-05, 7.8e-05, 0.000101, 0.113513, 0.116421
0.096748, 0.096245, 0.101034, 0.001316, 0.001562, 0.098356, 0.092581, 0.101827, 0.112882, 0.139423, 9.8e-05, 7.9e-05, 0.0001, 0.113928, 0.116683
0.097611, 0.095583, 0.103681, 0.001315, 0.001556, 0.097577, 0.093169, 0.101419, 0.111669, 0.138393, 9.9e-05, 7.8e-05, 0.0001, 0.11325, 0.116282
0.097266, 0.096169, 0.101267, 0.001322, 0.001569, 0.098517, 0.092897, 0.100449, 0.112201, 0.14097, 9.8e-05, 7.8e-05, 0.000101, 0.112698, 0.116933
0.0969, 0.096046, 0.102438, 0.001317, 0.001573, 0.098346, 0.092385, 0.102463, 0.111807, 0.139257, 9.8e-05, 7.8e-05, 0.000104, 0.113006, 0.11668
0.097739, 0.096262, 0.103766, 0.001324, 0.001574, 0.098112, 0.093377, 0.101759, 0.112116, 0.138991, 0.000102, 7.8e-05, 0.000105, 0.113657, 0.116762
0.097135, 0.096576, 0.100522, 0.001321, 0.001571, 0.097533, 0.092935, 0.102076, 0.111789, 0.138548, 9.9e-05, 7.8e-05, 0.000102, 0.112833, 0.116636
0.096601, 0.095903, 0.101729, 0.001327, 0.001562, 0.097673, 0.092343, 0.099478, 0.112115, 0.139451, 9.9e-05, 7.9e-05, 0.000102, 0.113152, 0.116331
0.097097, 0.09654, 0.103574, 0.001313, 0.001561, 0.09804, 0.093827, 0.099134, 0.112289, 0.139123, 9.9e-05, 7.8e-05, 0.000101, 0.113673, 0.116626
0.097149, 0.096283, 0.103478, 0.001304, 0.001578, 0.097762, 0.093181, 0.102233, 0.111781, 0.138971, 9.9e-05, 7.9e-05, 0.000105, 0.113458, 0.115928
0.097439, 0.096356, 0.10407, 0.001317, 0.001574, 0.097759, 0.092847, 0.100696, 0.112214, 0.139502, 9.8e-05, 7.8e-05, 9.9e-05, 0.113656, 0.116605
