normal_static_wrs, normal_static_heap, normal_static_discrete, normal_changing_wrs, normal_changing_heap, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_changing_wrs, uniform_changing_heap, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_changing_wrs, weibull_changing_heap
0.115768, 0.112707, 0.146062, 0.156217, 0.189888, 0.117409, 0.108686, 0.143549, 0.131504, 0.168411, 0.114791, 0.094209, 0.158547, 0.147336, 0.157822
0.114725, 0.110844, 0.146762, 0.156537, 0.187795, 0.114813, 0.108299, 0.146024, 0.131833, 0.169693, 0.115114, 0.09386, 0.153609, 0.146515, 0.15878
0.116542, 0.111119, 0.150716, 0.155333, 0.189997, 0.115476, 0.108894, 0.15486, 0.13324, 0.172971, 0.11566, 0.094857, 0.152703, 0.14585, 0.159882
0.115969, 0.112171, 0.152167, 0.156791, 0.190616, 0.116091, 0.110038, 0.154688, 0.133565, 0.169625, 0.115999, 0.094747, 0.152129, 0.147308, 0.160576
0.115219, 0.113016, 0.151999, 0.157429, 0.188357, 0.114507, 0.108842, 0.143851, 0.132809, 0.167135, 0.115377, 0.094624, 0.154791, 0.147726, 0.160102
0.11563, 0.113033, 0.148155, 0.1569, 0.187654, 0.11451, 0.10966, 0.155008, 0.132944, 0.169679, 0.116392, 0.09486, 0.153425, 0.147635, 0.159898
0.115641, 0.112746, 0.152927, 0.159436, 0.19036, 0.116116, 0.10983, 0.146019, 0.133213, 0.170144, 0.116609, 0.094393, 0.156399, 0.147178, 0.160107
0.114131, 0.113471, 0.151057, 0.156428, 0.190601, 0.116319, 0.109479, 0.144039, 0.132951, 0.16995, 0.117151, 0.094607, 0.152257, 0.146827, 0.160079
0.114103, 0.113041, 0.151309, 0.15683, 0.190423, 0.115767, 0.110159, 0.152253, 0.133074, 0.170134, 0.11557, 0.094895, 0.153311, 0.146258, 0.160449
0.116261, 0.111909, 0.144099, 0.157092, 0.190061, 0.115124, 0.109737, 0.146714, 0.133243, 0.169832, 0.116499, 0.094931, 0.152718, 0.146594, 0.160155
0.115766, 0.112029, 0.152667, 0.15698, 0.19042, 0.114155, 0.109743, 0.153874, 0.132775, 0.170064, 0.116303, 0.095472, 0.153703, 0.147116, 0.160675
0.114904, 0.112647, 0.152981, 0.157154, 0.18894, 0.116092, 0.109445, 0.153359, 0.133091, 0.169571, 0.11624, 0.094762, 0.152902, 0.147318, 0.158955
0.11415, 0.111754, 0.144286, 0.156446, 0.187917, 0.114878, 0.109571, 0.145104, 0.132309, 0.166703, 0.11555, 0.093879, 0.153169, 0.145424, 0.158838
0.114523, 0.111644, 0.153394, 0.155396, 0.190164, 0.116285, 0.109778, 0.152908, 0.132861, 0.169607, 0.116704, 0.094859, 0.143721, 0.148169, 0.160541
0.11498, 0.112579, 0.153979, 0.157113, 0.190299, 0.115704, 0.10941, 0.152894, 0.133281, 0.169871, 0.115591, 0.09466, 0.152905, 0.146301, 0.160162
0.115667, 0.112822, 0.151147, 0.156659, 0.190583, 0.115911, 0.108661, 0.152308, 0.133072, 0.169828, 0.11604, 0.095267, 0.151993, 0.14595, 0.160337
0.114961, 0.1129, 0.146307, 0.156294, 0.188527, 0.115747, 0.109028, 0.144106, 0.131696, 0.166961, 0.116687, 0.094938, 0.153471, 0.146992, 0.160117
0.115705, 0.113047, 0.151841, 0.156658, 0.190872, 0.115184, 0.109613, 0.143193, 0.132782, 0.166942, 0.116307, 0.094902, 0.146965, 0.147331, 0.160643
