normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.064853, 0.0597988, 0.053994, 0.0207553, 0.0570863, 0.0521909, 0.0544055, 0.0253045, 0.0347523, 0.0605374, 0.0310309, 0.0359899, 0.0306223, 0.0635201, 0.0575956, 0.0533638, 0.0208794, 0.0556437, 0.0525081, 0.0543687, 0.0682817, 0.0855235, 0.0653403, 0.0650998, 0.058484, 0.0661912, 0.0579438, 0.0496469, 0.0480336, 0.0212924, 0.0511971, 0.0461748, 0.047934, 0.0394722, 0.0426885, 0.0641429, 0.0337236, 0.0342765, 0.0425513
0.0631135, 0.0584829, 0.058301, 0.0213908, 0.0557033, 0.0518125, 0.0551443, 0.0262348, 0.0352292, 0.0599049, 0.0302602, 0.033708, 0.0304501, 0.0620116, 0.0608645, 0.0539175, 0.0210738, 0.0558575, 0.0508983, 0.0535879, 0.0680709, 0.085753, 0.0660644, 0.063983, 0.0591863, 0.0669065, 0.0574935, 0.0493681, 0.0503604, 0.0215481, 0.0499072, 0.0476944, 0.0520684, 0.0385942, 0.0419352, 0.0624576, 0.0334207, 0.0365032, 0.0411267
0.0616591, 0.0608822, 0.0545891, 0.0207693, 0.0548831, 0.051714, 0.0568083, 0.0246932, 0.0341675, 0.0585129, 0.0298273, 0.0352022, 0.0313767, 0.0618581, 0.0572415, 0.0527342, 0.0210231, 0.0597283, 0.0511235, 0.0557154, 0.0700171, 0.0851525, 0.0683361, 0.0620053, 0.0569485, 0.0691095, 0.0568912, 0.0495588, 0.0485637, 0.0213979, 0.0518542, 0.045887, 0.0484119, 0.0389399, 0.042712, 0.0635094, 0.0335888, 0.0346059, 0.0398792
0.0648071, 0.0595728, 0.0533865, 0.0208181, 0.0583012, 0.0517977, 0.0546036, 0.0249765, 0.0348818, 0.0605074, 0.0298377, 0.0339511, 0.0314042, 0.0616825, 0.0573854, 0.0532252, 0.0210847, 0.055827, 0.0513315, 0.0571813, 0.068515, 0.0888574, 0.0655411, 0.0632313, 0.0577161, 0.0684079, 0.0562568, 0.0501566, 0.0488441, 0.0216036, 0.0500869, 0.0458422, 0.0499868, 0.0389855, 0.0437537, 0.0654853, 0.0338974, 0.0339689, 0.0408478
0.0620993, 0.0584027, 0.0535547, 0.0201714, 0.0545755, 0.0535372, 0.056412, 0.024047, 0.033982, 0.0606689, 0.0306116, 0.0349106, 0.0301941, 0.0615908, 0.0567743, 0.0523321, 0.0208203, 0.0574144, 0.0518924, 0.0531575, 0.0694431, 0.0845718, 0.0672249, 0.063572, 0.0578934, 0.0691025, 0.0568046, 0.0489011, 0.04763, 0.0213053, 0.0484791, 0.0462835, 0.0490284, 0.0378766, 0.0418948, 0.0622877, 0.0333323, 0.0362421, 0.04228
0.061349, 0.0584992, 0.0527103, 0.0204621, 0.0546468, 0.0512295, 0.0540649, 0.0242887, 0.0342679, 0.0578679, 0.0298063, 0.0337652, 0.0303029, 0.0637654, 0.0592835, 0.0546356, 0.0218562, 0.0569888, 0.0508817, 0.0561855, 0.066898, 0.0874615, 0.0676002, 0.062252, 0.0601469, 0.0674449, 0.056224, 0.0490468, 0.0477571, 0.0209765, 0.0482359, 0.0472469, 0.047523, 0.0382674, 0.0415267, 0.061992, 0.0342414, 0.0348416, 0.0416813
0.0634018, 0.0601694, 0.0540711, 0.0207476, 0.0550436, 0.0512292, 0.0571593, 0.0238279, 0.0338775, 0.0579998, 0.0297924, 0.0333692, 0.0314981, 0.061447, 0.0601509, 0.0540087, 0.0217277, 0.0568239, 0.0534622, 0.0543521, 0.0703914, 0.0862337, 0.0655995, 0.0611058, 0.0588597, 0.0668734, 0.05709, 0.0488191, 0.0477528, 0.0226977, 0.0502036, 0.0454721, 0.0480479, 0.0381051, 0.0414065, 0.0621499, 0.0331141, 0.0340794, 0.0398242
0.0606001, 0.0575637, 0.0531832, 0.0223868, 0.057649, 0.0545678, 0.0553916, 0.02541, 0.0339796, 0.0579945, 0.0300345, 0.0350758, 0.0311318, 0.064561, 0.0585362, 0.0529763, 0.0207123, 0.0581267, 0.052615, 0.0562708, 0.0710698, 0.0882488, 0.0655769, 0.0612175, 0.0572282, 0.0676149, 0.0567675, 0.04901, 0.0478492, 0.021506, 0.0486075, 0.0473743, 0.0480562, 0.0375389, 0.0436299, 0.064035, 0.0334249, 0.0352215, 0.0404204
0.0605612, 0.0581651, 0.053264, 0.020631, 0.0541831, 0.0535931, 0.0539719, 0.0247632, 0.0359264, 0.0620145, 0.0309403, 0.0339022, 0.0306729, 0.0632003, 0.0570113, 0.0555151, 0.02142, 0.0563926, 0.0502879, 0.0533263, 0.067401, 0.0888039, 0.0679162, 0.0621279, 0.0600618, 0.0663215, 0.0566712, 0.049517, 0.0481135, 0.0210711, 0.0484085, 0.0465259, 0.0503158, 0.0383434, 0.0419068, 0.0649368, 0.0343602, 0.0344068, 0.0414275
0.0611707, 0.0578945, 0.0530176, 0.0201663, 0.0545664, 0.0508748, 0.0539964, 0.0265175, 0.0356243, 0.0588164, 0.0320228, 0.0360364, 0.0301519, 0.0657325, 0.0584912, 0.0539704, 0.0207647, 0.0560623, 0.0523155, 0.0533362, 0.0662935, 0.0842067, 0.0647959, 0.0634843, 0.0576992, 0.0659663, 0.0558915, 0.0488145, 0.0484292, 0.0210158, 0.0481864, 0.0462691, 0.0472717, 0.0380621, 0.0426063, 0.0627257, 0.0333193, 0.0334808, 0.0400767
