normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_static_weightsum, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_static_weightsum, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_static_weightsum
0.073481, 0.091094, 0.06879, 0.048986, 0.068735, 0.063744, 0.065913, 0.080407, 0.07191, 0.07038, 0.068814, 0.048573, 0.066474, 0.063793, 0.067846, 0.098419, 0.067365, 0.056519, 0.064308, 0.048558, 0.063482, 0.06019, 0.060546, 0.064867
0.073399, 0.071803, 0.068721, 0.048947, 0.068755, 0.063763, 0.065931, 0.080559, 0.071856, 0.070009, 0.068831, 0.049507, 0.066449, 0.063697, 0.067849, 0.078737, 0.067214, 0.05666, 0.064425, 0.048972, 0.063426, 0.06012, 0.060547, 0.064856
0.07335, 0.07206, 0.068739, 0.048603, 0.068734, 0.063774, 0.065933, 0.080443, 0.071943, 0.070026, 0.068835, 0.048554, 0.066486, 0.063738, 0.067853, 0.078717, 0.06734, 0.056737, 0.064312, 0.04857, 0.063454, 0.06017, 0.060545, 0.064923
0.073485, 0.072034, 0.068743, 0.048665, 0.068749, 0.063775, 0.065926, 0.080526, 0.071895, 0.070119, 0.068828, 0.048548, 0.066478, 0.063577, 0.067833, 0.078676, 0.06716, 0.056619, 0.064335, 0.048564, 0.06346, 0.060144, 0.060542, 0.06483
0.07341, 0.07214, 0.068744, 0.049523, 0.068739, 0.063748, 0.065937, 0.080472, 0.071895, 0.070295, 0.06883, 0.04853, 0.06647, 0.063689, 0.067833, 0.078733, 0.067251, 0.05656, 0.064328, 0.048555, 0.063525, 0.060173, 0.060526, 0.064901
0.073459, 0.072158, 0.068732, 0.048977, 0.068749, 0.063753, 0.065956, 0.080451, 0.071912, 0.070387, 0.068841, 0.048558, 0.066454, 0.063677, 0.067862, 0.078672, 0.067482, 0.05671, 0.064311, 0.048605, 0.063407, 0.060193, 0.060571, 0.064839
0.073512, 0.072206, 0.068757, 0.048973, 0.068748, 0.063757, 0.065917, 0.080511, 0.071963, 0.070055, 0.06882, 0.04899, 0.066463, 0.063704, 0.067812, 0.078679, 0.067305, 0.056546, 0.064313, 0.049523, 0.063428, 0.060168, 0.060581, 0.064875
0.073312, 0.072229, 0.068741, 0.048961, 0.068735, 0.063757, 0.065935, 0.080471, 0.071915, 0.070402, 0.068851, 0.048988, 0.066436, 0.063782, 0.067865, 0.078727, 0.067355, 0.056548, 0.064293, 0.049521, 0.063454, 0.060151, 0.060541, 0.064904
0.073302, 0.072009, 0.068739, 0.048578, 0.068722, 0.066113, 0.065925, 0.080457, 0.07184, 0.070224, 0.068844, 0.04949, 0.066451, 0.06376, 0.067828, 0.078722, 0.067275, 0.056562, 0.06434, 0.048586, 0.063497, 0.06017, 0.060554, 0.064906
0.07356, 0.071843, 0.068722, 0.048556, 0.068765, 0.06373, 0.065934, 0.080561, 0.071975, 0.070349, 0.068819, 0.049014, 0.066453, 0.063686, 0.067847, 0.078672, 0.067337, 0.056719, 0.064312, 0.048759, 0.063401, 0.060201, 0.06059, 0.064857
0.073496, 0.072101, 0.068762, 0.049016, 0.068746, 0.063757, 0.065932, 0.080495, 0.072009, 0.070344, 0.068829, 0.049511, 0.066464, 0.063709, 0.067826, 0.078652, 0.067372, 0.056547, 0.064321, 0.048556, 0.063464, 0.06016, 0.060562, 0.064842
0.073479, 0.071855, 0.068758, 0.048684, 0.068745, 0.063757, 0.065934, 0.080528, 0.071998, 0.070365, 0.068852, 0.048923, 0.066464, 0.063757, 0.067828, 0.078757, 0.067371, 0.05652, 0.064327, 0.048988, 0.063396, 0.060172, 0.060556, 0.06486
0.073476, 0.072125, 0.068712, 0.048972, 0.068751, 0.063798, 0.065936, 0.080526, 0.071961, 0.070361, 0.068823, 0.048956, 0.06643, 0.063676, 0.067833, 0.078745, 0.067436, 0.056536, 0.064382, 0.049209, 0.063454, 0.060173, 0.060518, 0.064836
0.07346, 0.072203, 0.068856, 0.048597, 0.068733, 0.063751, 0.065945, 0.080484, 0.071949, 0.070266, 0.068839, 0.048767, 0.066438, 0.063702, 0.067849, 0.078769, 0.067263, 0.056534, 0.064317, 0.048531, 0.063465, 0.060171, 0.060524, 0.064839
0.073486, 0.071813, 0.068712, 0.048977, 0.068747, 0.063731, 0.065944, 0.080526, 0.071949, 0.070459, 0.068817, 0.048554, 0.066448, 0.06368, 0.067836, 0.078669, 0.067433, 0.056558, 0.064321, 0.048626, 0.06342, 0.060217, 0.060606, 0.064869
0.073498, 0.071839, 0.068727, 0.048571, 0.06872, 0.063712, 0.065983, 0.080522, 0.071841, 0.070069, 0.068859, 0.048553, 0.066463, 0.063678, 0.067835, 0.078741, 0.067197, 0.056724, 0.06431, 0.048594, 0.063454, 0.060222, 0.06055, 0.064857
0.07344, 0.071969, 0.068733, 0.048565, 0.068746, 0.063773, 0.065955, 0.080526, 0.071833, 0.070045, 0.068823, 0.048573, 0.066457, 0.063733, 0.067835, 0.078743, 0.067338, 0.056714, 0.064329, 0.048889, 0.063399, 0.060198, 0.060525, 0.064879
0.073547, 0.072017, 0.068757, 0.048977, 0.068731, 0.063712, 0.065925, 0.080473, 0.071903, 0.070156, 0.068811, 0.049478, 0.066463, 0.063637, 0.067842, 0.078639, 0.067195, 0.05668, 0.06433, 0.048584, 0.063555, 0.060185, 0.060554, 0.064879
0.073401, 0.071907, 0.068749, 0.049462, 0.068727, 0.063795, 0.065957, 0.080517, 0.071886, 0.070057, 0.068823, 0.048591, 0.066467, 0.063645, 0.067826, 0.078725, 0.067187, 0.056523, 0.064308, 0.048987, 0.06345, 0.060161, 0.060558, 0.064927
0.073392, 0.071837, 0.068718, 0.049028, 0.068756, 0.063788, 0.065963, 0.080526, 0.071927, 0.070068, 0.068827, 0.049514, 0.066474, 0.063765, 0.067832, 0.078735, 0.067464, 0.056544, 0.064325, 0.048583, 0.06338, 0.060156, 0.060558, 0.06489
