normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_boost, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_boost, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_boost
0.036773, 0.036036, 0.035575, 0.019139, 0.036023, 0.034317, 0.034939, 0.022822, 0.030741, 0.02988, 0.029674, 0.021943
0.036358, 0.036085, 0.035707, 0.019626, 0.036203, 0.034327, 0.035031, 0.022817, 0.030761, 0.029902, 0.02963, 0.021832
0.036117, 0.036034, 0.03559, 0.019127, 0.036147, 0.034336, 0.034934, 0.022825, 0.030743, 0.029893, 0.029628, 0.02191
0.03616, 0.036059, 0.035599, 0.019156, 0.036128, 0.034346, 0.034999, 0.022814, 0.030711, 0.029918, 0.029669, 0.021879
0.036168, 0.036076, 0.0356, 0.019156, 0.036211, 0.034341, 0.034997, 0.022818, 0.030725, 0.029887, 0.029665, 0.021838
0.036141, 0.036086, 0.035624, 0.019159, 0.036063, 0.034324, 0.034954, 0.022865, 0.030717, 0.029899, 0.029579, 0.021735
0.036142, 0.03605, 0.035657, 0.019173, 0.036321, 0.034348, 0.035, 0.022829, 0.030817, 0.029896, 0.029644, 0.02182
0.036163, 0.036078, 0.035584, 0.01915, 0.036099, 0.034331, 0.034899, 0.022801, 0.030751, 0.029853, 0.029682, 0.02177
0.036166, 0.036097, 0.035593, 0.019208, 0.036145, 0.034309, 0.034893, 0.022822, 0.030726, 0.029948, 0.029685, 0.022087
0.03684, 0.036062, 0.035601, 0.01914, 0.035869, 0.034399, 0.034947, 0.022888, 0.0307, 0.029925, 0.029663, 0.021852
0.036339, 0.036065, 0.035665, 0.019152, 0.036195, 0.034489, 0.035667, 0.023156, 0.031468, 0.03072, 0.029677, 0.021834
0.036255, 0.036104, 0.036446, 0.021003, 0.03781, 0.035333, 0.035636, 0.023038, 0.030971, 0.031044, 0.030483, 0.022072
0.037202, 0.036337, 0.035714, 0.019199, 0.036358, 0.034626, 0.035045, 0.02336, 0.030865, 0.030207, 0.0299, 0.022152
0.037064, 0.036177, 0.03601, 0.01914, 0.036163, 0.034338, 0.034921, 0.022875, 0.030718, 0.02992, 0.029634, 0.021924
0.03615, 0.036056, 0.035632, 0.01921, 0.036168, 0.034324, 0.034974, 0.022868, 0.030776, 0.0299, 0.029693, 0.021786
0.036212, 0.036082, 0.035617, 0.019193, 0.036193, 0.034412, 0.035063, 0.023064, 0.030894, 0.02991, 0.029716, 0.021699
0.036174, 0.036065, 0.035706, 0.019176, 0.036102, 0.034339, 0.034917, 0.023423, 0.032557, 0.037732, 0.035944, 0.024043
0.037215, 0.037312, 0.036386, 0.019526, 0.036691, 0.034386, 0.035155, 0.023581, 0.032375, 0.030761, 0.030585, 0.022559
0.037158, 0.036714, 0.036677, 0.019596, 0.036581, 0.034578, 0.035276, 0.023959, 0.031649, 0.030728, 0.030543, 0.022824
0.037495, 0.037287, 0.036684, 0.019894, 0.037257, 0.035214, 0.035946, 0.023604, 0.031513, 0.029895, 0.029732, 0.022155
0.037289, 0.037174, 0.036707, 0.019814, 0.036854, 0.035227, 0.036018, 0.02309, 0.031277, 0.03096, 0.03033, 0.022906
0.037238, 0.036919, 0.036823, 0.019688, 0.036767, 0.034561, 0.035122, 0.023263, 0.031739, 0.030395, 0.031359, 0.022509
0.036556, 0.036098, 0.035979, 0.01992, 0.036424, 0.034326, 0.034876, 0.022951, 0.030879, 0.030841, 0.029924, 0.022626
0.037249, 0.037018, 0.036584, 0.01915, 0.036185, 0.03438, 0.034999, 0.022834, 0.03074, 0.029861, 0.029686, 0.021918
