normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.0331, 0.033818, 0.041412, 0.030579, 0.041143, 0.041861, 0.03844, 0.029704, 0.02898, 0.029249, 0.029187, 0.016297, 0.023358, 0.019967, 0.024784, 0.024261, 0.023153, 0.024171, 0.02939, 0.032409, 0.029802
0.032097, 0.033208, 0.030353, 0.030287, 0.041421, 0.041853, 0.038448, 0.029708, 0.02902, 0.029276, 0.029204, 0.016258, 0.02341, 0.019769, 0.024738, 0.02422, 0.023155, 0.024149, 0.029132, 0.032944, 0.029525
0.032326, 0.034735, 0.030425, 0.030929, 0.041298, 0.041877, 0.03871, 0.02974, 0.029037, 0.029269, 0.029203, 0.016259, 0.023394, 0.019778, 0.02498, 0.024277, 0.023128, 0.024068, 0.030093, 0.032857, 0.029884
0.033276, 0.033746, 0.029814, 0.030146, 0.041314, 0.041895, 0.038452, 0.029759, 0.029016, 0.029305, 0.029223, 0.016257, 0.023373, 0.019769, 0.024753, 0.024207, 0.023132, 0.024174, 0.029873, 0.032654, 0.02939
0.032334, 0.0339, 0.030173, 0.030155, 0.041557, 0.041854, 0.038377, 0.02977, 0.028956, 0.029233, 0.029189, 0.016257, 0.02336, 0.020025, 0.024781, 0.024248, 0.023183, 0.024167, 0.029618, 0.032832, 0.029783
0.03258, 0.033948, 0.030539, 0.030946, 0.041261, 0.041856, 0.038627, 0.029806, 0.029016, 0.029276, 0.02919, 0.016302, 0.023355, 0.019936, 0.02472, 0.024216, 0.023127, 0.024163, 0.029766, 0.033242, 0.030124
0.031868, 0.03547, 0.036068, 0.031661, 0.041855, 0.041934, 0.038362, 0.029731, 0.028999, 0.029276, 0.029221, 0.016306, 0.023267, 0.019772, 0.024795, 0.024285, 0.023156, 0.02414, 0.02926, 0.032674, 0.029752
0.032158, 0.034098, 0.030382, 0.030903, 0.041313, 0.072644, 0.038517, 0.029696, 0.028977, 0.02924, 0.029234, 0.016266, 0.023476, 0.019783, 0.02473, 0.02422, 0.023354, 0.024794, 0.029884, 0.034077, 0.030284
0.032464, 0.033952, 0.031283, 0.03086, 0.041623, 0.041855, 0.038356, 0.029718, 0.029007, 0.060188, 0.02926, 0.016264, 0.023364, 0.048741, 0.029418, 0.028292, 0.023173, 0.024125, 0.028737, 0.032879, 0.030284
0.031628, 0.033262, 0.030141, 0.030811, 0.041239, 0.04203, 0.038343, 0.029824, 0.029002, 0.029255, 0.029211, 0.016298, 0.023378, 0.019776, 0.024765, 0.024233, 0.023169, 0.024092, 0.029144, 0.032703, 0.02973
