normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.0509309, 0.0483388, 0.0448418, 0.0167956, 0.0468703, 0.0435753, 0.0471895, 0.0161921, 0.0280069, 0.0503098, 0.0256818, 0.0268143, 0.022545, 0.0503396, 0.049887, 0.0453049, 0.0173917, 0.0485639, 0.0463935, 0.0488289, 0.0566896, 0.0745149, 0.0566891, 0.0540172, 0.0505315, 0.057137, 0.0414566, 0.0378813, 0.0389746, 0.0175745, 0.0398104, 0.0376152, 0.0392404, 0.0210693, 0.0244522, 0.0515999, 0.0184222, 0.021736, 0.0201895
0.0513238, 0.0493934, 0.0454209, 0.0184542, 0.0466452, 0.0436575, 0.0487085, 0.0162057, 0.0257325, 0.0484139, 0.0229613, 0.0253844, 0.0225176, 0.0526448, 0.048798, 0.045941, 0.0192431, 0.0490664, 0.0429122, 0.0474362, 0.0572511, 0.074017, 0.0582913, 0.0545841, 0.0490879, 0.0571943, 0.0419952, 0.0409715, 0.0377736, 0.0192005, 0.0400258, 0.0369531, 0.0396867, 0.0211375, 0.0249853, 0.0494146, 0.0179207, 0.0219039, 0.020226
0.0542448, 0.0498452, 0.0452506, 0.0188077, 0.0463927, 0.0436051, 0.0476675, 0.0159597, 0.0271961, 0.0500283, 0.0226684, 0.0254976, 0.0218854, 0.0500208, 0.0472711, 0.0440996, 0.0167232, 0.047519, 0.0446973, 0.0455899, 0.0569033, 0.0732864, 0.0580885, 0.0547194, 0.0495205, 0.0567602, 0.0424367, 0.0388788, 0.0368724, 0.0168022, 0.041831, 0.0392132, 0.0383837, 0.0208294, 0.0247418, 0.0492229, 0.0184138, 0.022178, 0.0206728
0.0534633, 0.0501914, 0.0643896, 0.0187769, 0.0486399, 0.042924, 0.0466682, 0.0166067, 0.0270659, 0.0502572, 0.0222286, 0.0256103, 0.0221599, 0.0492406, 0.0478524, 0.0444189, 0.0169356, 0.0477572, 0.0458008, 0.0539038, 0.0569927, 0.0758087, 0.0585269, 0.0540177, 0.0507601, 0.0558631, 0.0416263, 0.0387392, 0.0367708, 0.0187802, 0.0404906, 0.0371581, 0.0388563, 0.0209638, 0.024491, 0.0498713, 0.0180656, 0.0213368, 0.0197118
0.0507538, 0.0509747, 0.0461273, 0.0181332, 0.0466547, 0.0466439, 0.0467435, 0.0162395, 0.0278774, 0.0507062, 0.022885, 0.0261557, 0.0217435, 0.0504444, 0.0473999, 0.0442989, 0.0167024, 0.0504557, 0.0459252, 0.0453052, 0.0594931, 0.0738119, 0.0569634, 0.0533406, 0.0507101, 0.0569743, 0.041632, 0.0386789, 0.0372235, 0.0167122, 0.039413, 0.0379074, 0.039198, 0.0210652, 0.0243764, 0.049326, 0.0195464, 0.0216985, 0.0201698
0.052542, 0.049237, 0.045198, 0.0175145, 0.048143, 0.043961, 0.0469612, 0.0162953, 0.0252934, 0.0487978, 0.0227043, 0.0254909, 0.021693, 0.0499689, 0.0479057, 0.0438142, 0.0205137, 0.0488016, 0.0433581, 0.0477571, 0.0602269, 0.0742102, 0.0561138, 0.0562423, 0.049143, 0.0576687, 0.0425325, 0.0383208, 0.0369376, 0.0168204, 0.0394914, 0.0369377, 0.041079, 0.0206602, 0.0260519, 0.0500919, 0.0178825, 0.0213832, 0.0200845
0.0508556, 0.0501838, 0.0458894, 0.0171094, 0.0471687, 0.0432826, 0.046949, 0.0159114, 0.0254243, 0.0482762, 0.0235365, 0.0255218, 0.0224301, 0.0495162, 0.049263, 0.0466288, 0.0174492, 0.0485321, 0.0434636, 0.0479845, 0.0568415, 0.0729868, 0.0583996, 0.054959, 0.0490642, 0.0567483, 0.0416969, 0.0384441, 0.0368891, 0.0190943, 0.0402106, 0.0366859, 0.0391465, 0.0207885, 0.0244342, 0.0495521, 0.0182738, 0.0215485, 0.0200637
0.0521659, 0.0517653, 0.0459734, 0.0171053, 0.0464004, 0.0440254, 0.0498965, 0.0163549, 0.0253844, 0.0512801, 0.0234981, 0.0255682, 0.0221523, 0.0507475, 0.0482644, 0.0446231, 0.0167982, 0.0471928, 0.0434619, 0.0468959, 0.0644917, 0.07308, 0.0561143, 0.0541484, 0.0522898, 0.0552233, 0.0417862, 0.0413264, 0.038209, 0.0185531, 0.0395473, 0.0373067, 0.038257, 0.0208285, 0.0246873, 0.0500755, 0.0181265, 0.0219824, 0.0205802
0.0509166, 0.0483827, 0.0450704, 0.01716, 0.046777, 0.0443658, 0.0475303, 0.0160548, 0.0251371, 0.0505752, 0.023181, 0.0254157, 0.0224722, 0.0505136, 0.047683, 0.0456696, 0.0169292, 0.0491328, 0.0432256, 0.0456723, 0.0581389, 0.0732858, 0.0563948, 0.0556463, 0.0515721, 0.057789, 0.0425443, 0.0386523, 0.0367354, 0.0169278, 0.0404503, 0.0400513, 0.0391624, 0.0208803, 0.0245456, 0.0499225, 0.0182116, 0.0220404, 0.0198636
0.0510641, 0.048524, 0.0453944, 0.0169012, 0.0486072, 0.0427988, 0.0461576, 0.0165976, 0.026273, 0.0517798, 0.0231483, 0.025414, 0.0221034, 0.0508547, 0.0474337, 0.0441973, 0.0167181, 0.049114, 0.0448143, 0.0451612, 0.0578151, 0.0736898, 0.0594613, 0.0553724, 0.0499975, 0.0579202, 0.0422606, 0.0385676, 0.0367897, 0.0184332, 0.0388814, 0.0378474, 0.0394867, 0.021025, 0.02423, 0.0489025, 0.0187052, 0.0290603, 0.0200078
