normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_static_weightsum, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_static_weightsum, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_static_weightsum
0.332153, 0.363116, 0.654631, 1.07098, 0.292758, 0.270643, 0.229532, 0.338929, 0.326424, 0.352393, 0.644646, 1.09668, 0.270809, 0.268673, 0.243937, 0.337895, 0.329543, 0.280323, 0.646651, 1.15603, 0.279007, 0.270597, 0.23438, 0.292857
0.33469, 0.358716, 0.662087, 1.1435, 0.288819, 0.270532, 0.228606, 0.343005, 0.333154, 0.347017, 0.66573, 1.07239, 0.271122, 0.272621, 0.239673, 0.338379, 0.33582, 0.286465, 0.634548, 1.07637, 0.291912, 0.272013, 0.229775, 0.291697
0.333561, 0.363455, 0.647773, 1.1077, 0.279539, 0.269506, 0.231028, 0.338851, 0.33402, 0.347252, 0.653091, 1.07419, 0.272472, 0.270651, 0.242282, 0.33747, 0.329144, 0.281766, 0.641282, 1.08736, 0.286238, 0.26834, 0.22952, 0.291904
0.333024, 0.358105, 0.648957, 1.09161, 0.278968, 0.271858, 0.22884, 0.341201, 0.328732, 0.341824, 0.646711, 1.05423, 0.267686, 0.272444, 0.244483, 0.337122, 0.332727, 0.283103, 0.644431, 1.04421, 0.285843, 0.27044, 0.22956, 0.296131
0.33391, 0.363752, 0.655321, 1.0348, 0.278874, 0.268559, 0.235448, 0.335556, 0.334236, 0.348447, 0.651865, 1.12918, 0.268517, 0.271558, 0.237755, 0.337354, 0.331512, 0.284043, 0.652038, 1.04749, 0.286608, 0.267709, 0.229577, 0.292681
0.336474, 0.357992, 0.656386, 1.1362, 0.281339, 0.269511, 0.228642, 0.340819, 0.329842, 0.347243, 0.644204, 1.11407, 0.274449, 0.268367, 0.243909, 0.337598, 0.330231, 0.281142, 0.645476, 1.0725, 0.277607, 0.267286, 0.233854, 0.291937
0.334074, 0.361633, 0.642911, 1.10379, 0.28023, 0.268042, 0.229095, 0.338752, 0.331237, 0.34784, 0.64805, 1.12828, 0.270658, 0.26821, 0.240776, 0.337077, 0.332896, 0.282299, 0.646736, 1.05895, 0.286093, 0.26643, 0.229331, 0.295238
0.334029, 0.358979, 0.645303, 1.08012, 0.278788, 0.27195, 0.229493, 0.342571, 0.323274, 0.351384, 0.592498, 1.11861, 0.273568, 0.268807, 0.237944, 0.33678, 0.330482, 0.28294, 0.641902, 1.08218, 0.286278, 0.270525, 0.229604, 0.294266
0.335255, 0.359053, 0.66134, 1.0898, 0.281198, 0.268265, 0.232041, 0.3387, 0.334808, 0.34738, 0.643175, 1.15901, 0.285869, 0.268231, 0.239731, 0.337296, 0.334889, 0.282102, 0.654264, 1.06177, 0.288757, 0.268926, 0.240112, 0.292109
0.33375, 0.363921, 0.622376, 1.09432, 0.279576, 0.272315, 0.231175, 0.338423, 0.334662, 0.34137, 0.62034, 1.09511, 0.270549, 0.272858, 0.238508, 0.337388, 0.330575, 0.282118, 0.630012, 1.046, 0.27917, 0.268306, 0.230457, 0.292457
0.335731, 0.357397, 0.642944, 1.12667, 0.279189, 0.267318, 0.229244, 0.338652, 0.33061, 0.342549, 0.627366, 1.05842, 0.267816, 0.267845, 0.242682, 0.337516, 0.330985, 0.282867, 0.640148, 1.16252, 0.285945, 0.271111, 0.230333, 0.291584
0.336673, 0.358205, 0.640847, 1.07991, 0.280623, 0.267942, 0.237455, 0.339523, 0.331026, 0.347791, 0.623709, 1.0727, 0.268425, 0.272182, 0.24194, 0.337346, 0.330433, 0.283315, 0.61217, 1.09631, 0.285786, 0.269116, 0.229448, 0.292824
0.33437, 0.359193, 0.613227, 1.07294, 0.279808, 0.268391, 0.229084, 0.338998, 0.332809, 0.347459, 0.597431, 1.08681, 0.268287, 0.268111, 0.242811, 0.336432, 0.330826, 0.282478, 0.641314, 1.07029, 0.309109, 0.267772, 0.229026, 0.292967
0.334703, 0.358636, 0.646244, 1.06266, 0.2799, 0.269414, 0.230479, 0.338844, 0.331155, 0.348783, 0.656966, 1.04123, 0.268313, 0.268154, 0.23833, 0.337294, 0.330317, 0.282684, 0.643476, 1.10326, 0.28695, 0.267061, 0.231432, 0.291856
0.334508, 0.358539, 0.649328, 1.12151, 0.280194, 0.268085, 0.230581, 0.339204, 0.331011, 0.347469, 0.645874, 1.07554, 0.268145, 0.272146, 0.237968, 0.337848, 0.330813, 0.281609, 0.638039, 1.04243, 0.286811, 0.268268, 0.231113, 0.293214
