normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.0606897, 0.0562059, 0.0399739, 0.0373113, 0.0590648, 0.0561356, 0.0647165, 0.0698637, 0.05582, 0.0545109, 0.0386069, 0.0378707
0.0608058, 0.056016, 0.0399981, 0.0370437, 0.0590702, 0.0563257, 0.0647127, 0.0702506, 0.0557002, 0.0545573, 0.0389701, 0.0382064
0.0610065, 0.0561811, 0.0398441, 0.0373386, 0.0590715, 0.0562206, 0.0647733, 0.0698663, 0.0555177, 0.054512, 0.0386768, 0.0378743
0.0839301, 0.0560047, 0.0399323, 0.0368525, 0.0590555, 0.0561951, 0.0646229, 0.0698036, 0.0556368, 0.0547586, 0.0385545, 0.0381745
0.0606717, 0.0560571, 0.0399338, 0.0368316, 0.0590306, 0.0561251, 0.0646434, 0.0698084, 0.0556005, 0.0544942, 0.0383284, 0.0378468
0.0609544, 0.056155, 0.0398565, 0.037069, 0.0797817, 0.0561521, 0.0647424, 0.0698027, 0.0557651, 0.0544836, 0.0385805, 0.038179
0.0608968, 0.0561276, 0.03994, 0.0368523, 0.0589834, 0.0561503, 0.0654636, 0.0698561, 0.0558179, 0.0544745, 0.0389361, 0.0385009
0.0610495, 0.0561542, 0.0398374, 0.0370207, 0.059038, 0.0562253, 0.0646522, 0.0699106, 0.0556594, 0.0545636, 0.038625, 0.0382161
0.06091, 0.056153, 0.0399196, 0.0373505, 0.0590608, 0.0562303, 0.0646516, 0.0701564, 0.0558514, 0.0545818, 0.0389518, 0.0381841
0.0605339, 0.0561434, 0.0398886, 0.0368478, 0.0590659, 0.0562304, 0.0646952, 0.0698641, 0.055653, 0.0546325, 0.0383083, 0.0378824
0.0626108, 0.0559867, 0.0400336, 0.0373268, 0.0590121, 0.0561868, 0.0645583, 0.0702717, 0.0559741, 0.0544375, 0.0386582, 0.0382366
0.060844, 0.0562091, 0.0399297, 0.0369819, 0.0590319, 0.0561969, 0.0647168, 0.070148, 0.0556217, 0.0544731, 0.0383339, 0.0384537
0.0609959, 0.0561919, 0.0400035, 0.0369336, 0.0589993, 0.0561532, 0.0646134, 0.0698652, 0.0556054, 0.0545963, 0.0389342, 0.0383477
0.0608475, 0.0560629, 0.0399003, 0.0369734, 0.0590597, 0.0562293, 0.0646681, 0.0701693, 0.0556736, 0.0544784, 0.0383165, 0.0379714
0.0817615, 0.0561012, 0.0398599, 0.0369584, 0.0590031, 0.0562034, 0.064712, 0.0699223, 0.0768417, 0.054502, 0.0384846, 0.0378391
0.0605672, 0.05611, 0.0399116, 0.0368233, 0.0590253, 0.0562889, 0.0646196, 0.0702247, 0.0557204, 0.0545821, 0.0387137, 0.0382813
