normal_static_wrs, normal_static_discrete, normal_changing_wrs, uniform_static_wrs, uniform_static_discrete, uniform_changing_wrs, weibull_static_wrs, weibull_static_discrete, weibull_changing_wrs
0.181533, 0.240048, 0.289196, 0.188387, 0.224899, 0.272786, 0.18306, 0.23751, 0.230479
0.177136, 0.227564, 0.238369, 0.187449, 0.24064, 0.262623, 0.169865, 0.255485, 0.248767
0.178513, 0.232325, 0.285215, 0.160484, 0.226437, 0.199095, 0.149205, 0.222555, 0.195725
0.160429, 0.226608, 0.208653, 0.167377, 0.222568, 0.200404, 0.166779, 0.234597, 0.201568
0.163492, 0.237755, 0.215133, 0.149091, 0.227768, 0.19816, 0.160751, 0.224684, 0.205628
0.155152, 0.228861, 0.22874, 0.187634, 0.23676, 0.287206, 0.17468, 0.278923, 0.242323
0.155169, 0.2237, 0.279471, 0.187543, 0.264162, 0.254065, 0.177347, 0.228885, 0.212059
0.187084, 0.299951, 0.269576, 0.174318, 0.254558, 0.233233, 0.165389, 0.245384, 0.221372
0.180741, 0.280222, 0.255156, 0.170371, 0.238461, 0.238586, 0.166588, 0.244104, 0.250865
0.194112, 0.252219, 0.257054, 0.181452, 0.276946, 0.245449, 0.186064, 0.236194, 0.288986
0.200103, 0.259023, 0.316139, 0.152766, 0.21586, 0.191876, 0.231613, 0.217612, 0.193547
0.164455, 0.231924, 0.215834, 0.158535, 0.230763, 0.199426, 0.197819, 0.343258, 0.216664
0.17155, 0.355952, 0.283292, 0.183186, 0.241538, 0.226436, 0.175212, 0.235002, 0.195003
0.221902, 0.275924, 0.228996, 0.15095, 0.233224, 0.272955, 0.211507, 0.268294, 0.212283
0.165033, 0.26137, 0.259869, 0.196787, 0.261513, 0.295508, 0.210321, 0.252524, 0.196207
0.198473, 0.277746, 0.26816, 0.167048, 0.277219, 0.230886, 0.155653, 0.216953, 0.208492
0.163436, 0.22443, 0.217127, 0.187878, 0.321848, 0.247961, 0.168174, 0.230092, 0.296974
0.184392, 0.241799, 0.28241, 0.177712, 0.236042, 0.275635, 0.189113, 0.251012, 0.209442
0.168136, 0.239817, 0.251846, 0.176041, 0.28961, 0.282199, 0.232345, 0.263816, 0.199487
0.191589, 0.313135, 0.273062, 0.188694, 0.256948, 0.232019, 0.184744, 0.237841, 0.220579
0.178121, 0.256519, 0.256165, 0.174685, 0.248888, 0.242325, 0.182811, 0.246236, 0.222322
