normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_fenwick, normal_static_leafsum, normal_static_leaf_sum_split, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_fenwick, normal_changing_leafsum, normal_changing_leaf_sum_split, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_fenwick, uniform_static_leafsum, uniform_static_leaf_sum_split, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_fenwick, uniform_changing_leafsum, uniform_changing_leaf_sum_split, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_fenwick, weibull_static_leafsum, weibull_static_leaf_sum_split, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_fenwick, weibull_changing_leafsum, weibull_changing_leaf_sum_split, weibull_changing_sideways_fenwick
0.0751121, 0.0701303, 0.0607546, 0.0267333, 0.064065, 0.0642613, 0.0657381, 0.0621818, 0.078746, 0.0775689, 0.0611947, 0.06354, 0.0638423, 0.0734087, 0.0717181, 0.0633371, 0.0266157, 0.064895, 0.0622867, 0.0628352, 0.0838153, 0.101588, 0.0775544, 0.0714022, 0.0683517, 0.0775248, 0.0624849, 0.0566539, 0.0567927, 0.0263176, 0.059594, 0.0562828, 0.0579257, 0.0623673, 0.0695994, 0.0820941, 0.0565436, 0.054585, 0.0645194
0.0761264, 0.0725067, 0.0610821, 0.0269653, 0.0684864, 0.0615232, 0.0651442, 0.0659305, 0.0758304, 0.07289, 0.0594114, 0.0592106, 0.0650499, 0.0740313, 0.0695596, 0.0619261, 0.0268757, 0.0660738, 0.0603787, 0.0639675, 0.0804047, 0.104983, 0.0773544, 0.075757, 0.0699932, 0.0781101, 0.0643271, 0.0580897, 0.0569515, 0.027194, 0.05942, 0.0577761, 0.0574405, 0.0621838, 0.0687246, 0.0792905, 0.0568308, 0.0519841, 0.0649509
0.0727904, 0.0699981, 0.0635414, 0.0281434, 0.0654835, 0.0633033, 0.0631189, 0.0609488, 0.0810619, 0.0749492, 0.061334, 0.0605521, 0.0634453, 0.0735913, 0.070285, 0.0624835, 0.0271357, 0.0664023, 0.0607238, 0.0647355, 0.0801453, 0.102032, 0.0771189, 0.0716718, 0.067051, 0.0801401, 0.0656467, 0.0574587, 0.0605411, 0.0270771, 0.0634551, 0.055369, 0.0585978, 0.0659195, 0.0699838, 0.0779986, 0.0551202, 0.052526, 0.0679219
0.0736917, 0.0700531, 0.0607889, 0.0282197, 0.0673893, 0.0617634, 0.0637441, 0.0617168, 0.0769907, 0.0727899, 0.0589152, 0.0629451, 0.0630966, 0.0714947, 0.072672, 0.0635211, 0.028081, 0.0670232, 0.0629164, 0.0624003, 0.0816128, 0.103716, 0.0767589, 0.0710594, 0.0676742, 0.0773705, 0.0637701, 0.0584583, 0.0584858, 0.0269303, 0.0597016, 0.0552532, 0.0600983, 0.063037, 0.0685389, 0.0800103, 0.0569062, 0.0518682, 0.0669866
0.0752005, 0.0729796, 0.0607101, 0.0268295, 0.0675518, 0.0607299, 0.0630698, 0.0612656, 0.0807013, 0.0749794, 0.0591894, 0.0599124, 0.0673113, 0.0713748, 0.0678262, 0.0605512, 0.0261086, 0.065907, 0.0606597, 0.0648707, 0.0832929, 0.104305, 0.0782961, 0.0740405, 0.0695729, 0.0779851, 0.0642562, 0.0572973, 0.0567678, 0.0266537, 0.0626437, 0.0573383, 0.0575078, 0.0645681, 0.0681976, 0.0766648, 0.05616, 0.05202, 0.0655634
0.0742198, 0.0715846, 0.0607643, 0.0267794, 0.0640825, 0.061003, 0.064564, 0.0611394, 0.0811543, 0.0781608, 0.0618463, 0.0592737, 0.06387, 0.0740388, 0.069489, 0.0607316, 0.026249, 0.0662249, 0.0607019, 0.0636616, 0.0795532, 0.102137, 0.0782918, 0.0710236, 0.0670338, 0.0819412, 0.0629416, 0.0567245, 0.0601862, 0.0268357, 0.0595886, 0.0582597, 0.0589866, 0.0649224, 0.0695722, 0.0775378, 0.0559807, 0.053513, 0.0677463
0.0772754, 0.0706886, 0.0618265, 0.0266565, 0.0640876, 0.0612793, 0.0661615, 0.0601831, 0.0796376, 0.0733656, 0.061977, 0.0619833, 0.0641682, 0.0733464, 0.0710322, 0.0627299, 0.027681, 0.0658525, 0.0629485, 0.0629207, 0.0843322, 0.102368, 0.0780126, 0.072945, 0.0677445, 0.07819, 0.0622074, 0.0562437, 0.0569892, 0.0267365, 0.0599379, 0.0552173, 0.057149, 0.0630738, 0.0702378, 0.0813444, 0.0579065, 0.051338, 0.0650993
0.0753306, 0.0726807, 0.0610293, 0.026759, 0.0669016, 0.0619226, 0.0639099, 0.0623769, 0.0767247, 0.0735814, 0.0591404, 0.0599591, 0.0664424, 0.0731926, 0.0704959, 0.0620195, 0.0267062, 0.0653144, 0.0602232, 0.0650372, 0.0791216, 0.104334, 0.0778628, 0.0747697, 0.0666265, 0.0786084, 0.0655511, 0.0587213, 0.0577338, 0.0266303, 0.0594315, 0.0583313, 0.0572451, 0.0639977, 0.0685891, 0.07684, 0.0593264, 0.0528736, 0.0655638
0.0731578, 0.0698815, 0.0604657, 0.02895, 0.065748, 0.0626546, 0.0632065, 0.0615751, 0.0790955, 0.0752745, 0.0596134, 0.0615692, 0.0635027, 0.0746577, 0.06956, 0.0644066, 0.0283737, 0.0663102, 0.0623063, 0.0630866, 0.0797848, 0.103702, 0.0781283, 0.0713827, 0.067615, 0.0817735, 0.0622462, 0.0588861, 0.0578973, 0.0294829, 0.0613622, 0.0554409, 0.0589295, 0.0628845, 0.0708246, 0.0784607, 0.0564138, 0.0511146, 0.0652854
0.0746981, 0.0712913, 0.0611297, 0.0266783, 0.0670451, 0.0623353, 0.0630995, 0.0622332, 0.0775237, 0.0795918, 0.0592998, 0.0599809, 0.062754, 0.0716632, 0.0678177, 0.0635364, 0.0274753, 0.069582, 0.0631277, 0.0624487, 0.0844335, 0.101488, 0.0764674, 0.0711734, 0.0689551, 0.0776513, 0.0626578, 0.0561457, 0.060553, 0.0273192, 0.0609522, 0.0559824, 0.0598675, 0.0625286, 0.0678317, 0.0766679, 0.0582055, 0.0512698, 0.0671578
0.073337, 0.0721935, 0.0636997, 0.0265926, 0.064198, 0.0609048, 0.0638467, 0.063769, 0.0801139, 0.0749513, 0.0597038, 0.0589341, 0.0631851, 0.0711325, 0.0679128, 0.060429, 0.0268145, 0.0655145, 0.0605225, 0.0663542, 0.0821821, 0.103117, 0.0792277, 0.0723236, 0.0673091, 0.079925, 0.0640338, 0.0592866, 0.0582962, 0.0271442, 0.0615063, 0.0584488, 0.0574207, 0.0642937, 0.0692375, 0.0770251, 0.0549032, 0.0559216, 0.0644101
0.0772561, 0.0703905, 0.0609522, 0.0266168, 0.0644682, 0.060766, 0.0668178, 0.0602913, 0.0758165, 0.0781425, 0.0612214, 0.059008, 0.0644534, 0.0722799, 0.0721157, 0.0616583, 0.0271024, 0.0653356, 0.0602395, 0.0637143, 0.0807763, 0.103355, 0.0782945, 0.0713308, 0.0669669, 0.0781077, 0.0622989, 0.0565725, 0.0569465, 0.0266031, 0.0627396, 0.0553503, 0.0609989, 0.0635212, 0.0713487, 0.079433, 0.0562441, 0.0521407, 0.0664673
0.076475, 0.0737943, 0.0616875, 0.027084, 0.064189, 0.0643028, 0.0635182, 0.0617414, 0.0760528, 0.0737753, 0.0602804, 0.060391, 0.0650795, 0.0745274, 0.0703899, 0.0611123, 0.0288094, 0.069007, 0.0606077, 0.0644354, 0.0796774, 0.103254, 0.077264, 0.0752768, 0.0710853, 0.0790111, 0.0632361, 0.0568016, 0.0566108, 0.0268103, 0.0591097, 0.0575084, 0.0577845, 0.0627756, 0.0686845, 0.0771567, 0.0597912, 0.0519555, 0.0646346
0.0730475, 0.0696074, 0.0641224, 0.0278448, 0.0645128, 0.0635338, 0.0652281, 0.0620736, 0.0787766, 0.0746085, 0.0592655, 0.0608972, 0.0633438, 0.0719753, 0.0678597, 0.0630782, 0.0272341, 0.0664548, 0.0623662, 0.0646296, 0.080132, 0.103417, 0.0796242, 0.0740956, 0.0686808, 0.081195, 0.065293, 0.0598222, 0.0584286, 0.0270464, 0.0608513, 0.0561317, 0.0590089, 0.0621633, 0.0682042, 0.076188, 0.0553854, 0.0540148, 0.0648386
0.0728019, 0.0697292, 0.0607238, 0.0267551, 0.0668464, 0.0607469, 0.0634708, 0.0621999, 0.0775536, 0.0767161, 0.0614626, 0.0592868, 0.062699, 0.0713697, 0.0714281, 0.0619748, 0.0286871, 0.0676749, 0.062937, 0.0622834, 0.0820412, 0.101847, 0.0772677, 0.0710761, 0.0684967, 0.0777797, 0.0625582, 0.0562035, 0.0588815, 0.0270212, 0.0632283, 0.0554183, 0.0601694, 0.0643117, 0.0685041, 0.0800015, 0.0561525, 0.0520017, 0.0677995
0.0760015, 0.0723293, 0.0613374, 0.0266672, 0.0643001, 0.0624986, 0.0650596, 0.060485, 0.078642, 0.0762755, 0.0597322, 0.0623815, 0.0631919, 0.0712696, 0.0685777, 0.0609559, 0.0259947, 0.0683906, 0.0612859, 0.0630912, 0.083821, 0.104334, 0.0768099, 0.071792, 0.0690364, 0.0777221, 0.0621189, 0.0561111, 0.0567136, 0.0272536, 0.0617553, 0.0580291, 0.0571187, 0.0657477, 0.0680682, 0.0762126, 0.0550669, 0.05451, 0.0648038
0.0751823, 0.0710978, 0.0626467, 0.0285133, 0.0658277, 0.0612303, 0.0669953, 0.0605276, 0.0801616, 0.0773649, 0.060671, 0.0592907, 0.064724, 0.0729647, 0.067829, 0.0608868, 0.0262066, 0.0656958, 0.0617238, 0.0622575, 0.0809385, 0.103564, 0.0773113, 0.0745586, 0.0668613, 0.0819836, 0.0637487, 0.056812, 0.0597316, 0.0271735, 0.0604768, 0.0551602, 0.0584516, 0.0647283, 0.0701347, 0.0775793, 0.0550859, 0.0547712, 0.0649727
0.0757386, 0.0720568, 0.0611744, 0.0267729, 0.064328, 0.0643141, 0.0663554, 0.0607943, 0.0770731, 0.0738351, 0.0626142, 0.0612782, 0.0654237, 0.0757444, 0.0689454, 0.0646828, 0.0272204, 0.0660502, 0.0615081, 0.06331, 0.0809385, 0.103584, 0.0797341, 0.0729723, 0.0675422, 0.0774867, 0.0630957, 0.0564373, 0.0568328, 0.0265301, 0.0594041, 0.0552078, 0.0575136, 0.0659257, 0.0695257, 0.0804919, 0.058542, 0.0522918, 0.067806
